oom,id,large.tests,budget,agents,queue_percent,env_size,reward,random,greedy,exploration time,training time,elapsed time,last episode
o,87800,30,0.4,3,25,12,2,0.8,2.31,1.3389709,1.179170847,2.597828865,4999
o,87801,31,0.4,3,50,12,1.99,1.03,2.31,1.259813786,0.7828774452,2.121555567,4999
o,87802,32,0.4,3,75,12,1.98,1.05,2.31,1.481929064,0.4698472023,2.032825232,4999
o,87773,24,0.4,7,25,18,4.25,1.6,2.78,6.804522514,2.907199144,10.05301952,4999
o,87774,25,0.4,7,50,18,4.3,2.34,1.61,6.621010542,1.838912487,8.808789253,4999
o,87775,26,0.4,7,75,18,4.3,2.58,1.75,6.767154694,1.109936237,8.264736891,4999
o,87649,18,0.4,10,25,22,6.51,3.56,4.4,16.99423003,4.310979843,22.11742997,4999
o,87650,19,0.4,10,50,22,6.42,3.39,3.4,14.82850194,2.636909962,18.1862092,4999
o,87651,20,0.4,10,75,22,6.31,3.27,2.74,16.11975288,1.568334341,18.4902401,4999
x,84767,4,0.4,15,25,27,9.17,5.68,12.01,44.80906558,6.20788455,52.8106637,4590
o,84768,5,0.4,15,50,27,9.23,4.81,12.01,39.95448542,4.282207251,45.85271144,4999
o,84769,6,0.4,15,75,27,9.26,4.62,12.06,39.24839544,2.162875891,43.07489586,4999
x,87131,14,0.4,20,25,31,11.86,16.15,6.84,85.8421936,8.691523075,97.54299188,2879
x,87132,15,0.4,20,50,31,12.15,6.32,16.17,83.32132912,6.992776871,93.37064075,4375
o,87133,16,0.4,20,75,31,12.05,7.17,16.1,80.51633739,3.328270197,86.78399515,4999
o,87803,33,0.5,3,25,10,1.55,0.77,2.28,0.803494215,1.091226101,1.948652506,4999
o,87804,34,0.5,3,50,10,1.59,0.67,2.27,0.9578807354,0.8626978397,1.878221035,4999
o,87806,35,0.5,3,75,10,1.62,0.71,2.22,1.161353827,0.5029399395,1.727991104,4999
o,87776,27,0.5,7,25,16,4.02,2.2,1.25,4.511536837,2.510264397,7.302406073,4999
o,87777,28,0.5,7,50,16,3.89,2.09,5.53,5.070284367,2.003958702,7.3786273,4999
o,87778,29,0.5,7,75,16,3.82,2.48,5.54,5.66936326,1.130246878,7.128121853,4999
o,87652,21,0.5,10,25,19,5.37,2.74,2.5,9.513659239,3.718286991,13.77615047,4999
o,87653,22,0.5,10,50,19,5.4,3.16,3.19,10.13274813,3.097097158,13.82976294,4999
o,87654,23,0.5,10,75,19,5.44,3,2.99,10.15631032,1.509225607,12.22637272,4999
o,84878,10,0.5,15,25,24,8.33,4.63,11.81,25.60224557,5.824053049,32.72203016,4999
o,84876,8,0.5,15,50,24,8.44,5.41,11.98,26.30626035,3.99230504,31.61188364,4999
o,84875,7,0.5,15,75,24,8.2,4.74,11.98,26.23425221,2.179803848,29.71305633,4999
x,87128,11,0.5,20,25,28,11.11,7.05,16.06,57.7654767,7.945562601,68.03638101,3688
x,87129,12,0.5,20,50,28,11.05,5.73,16.01,78.84160852,2.878711224,84.72266936,4999
o,87130,13,0.5,20,75,28,11.03,6.64,16.05,66.50001502,3.198034763,72.36400867,4999